Time	pn	pe	pd	u	v	w	phi	theta	psip	q	r
2.4500000	0.8863425	0.3585587	-0.2917888	0.0736443	-0.0779216	0.1801972	0.0143998	-0.0104365	-0.0117167	0.0280608	-0.0359273	-0.0288430
2.4600000	0.8870541	0.3577544	-0.2899960	0.0743751	-0.0760141	0.1790825	0.0146766	-0.0107854	-0.0120042	0.0266976	-0.0346786	-0.0276353
2.4700000	0.8877727	0.3569688	-0.2882140	0.0751315	-0.0740939	0.1779714	0.0149399	-0.0111219	-0.0122796	0.0253423	-0.0334304	-0.0264314
2.4800000	0.8884984	0.3562018	-0.2864426	0.0759122	-0.0721622	0.1768640	0.0151895	-0.0114460	-0.0125428	0.0239956	-0.0321832	-0.0252321
2.4900000	0.8892318	0.3554536	-0.2846819	0.0767160	-0.0702203	0.1757604	0.0154257	-0.0117578	-0.0127940	0.0226580	-0.0309379	-0.0240379
2.5000000	0.8899729	0.3547243	-0.2829317	0.0775415	-0.0682697	0.1746606	0.0156485	-0.0120573	-0.0130332	0.0213301	-0.0296952	-0.0228496
2.5100000	0.8907221	0.3540142	-0.2811920	0.0783876	-0.0663115	0.1735647	0.0158580	-0.0123445	-0.0132603	0.0200127	-0.0284558	-0.0216678
2.5200000	0.8914796	0.3533232	-0.2794628	0.0792531	-0.0643472	0.1724730	0.0160543	-0.0126195	-0.0134755	0.0187062	-0.0272205	-0.0204930
2.5300000	0.8922456	0.3526514	-0.2777439	0.0801367	-0.0623780	0.1713854	0.0162374	-0.0128823	-0.0136789	0.0174113	-0.0259899	-0.0193258
2.5400000	0.8930204	0.3519989	-0.2760354	0.0810372	-0.0604052	0.1703021	0.0164076	-0.0131330	-0.0138705	0.0161285	-0.0247647	-0.0181669
2.5500000	0.8938041	0.3513659	-0.2743371	0.0819534	-0.0584299	0.1692232	0.0165649	-0.0133716	-0.0140504	0.0148583	-0.0235456	-0.0170167
2.5600000	0.8945970	0.3507522	-0.2726491	0.0828842	-0.0564535	0.1681488	0.0167095	-0.0135982	-0.0142187	0.0136014	-0.0223331	-0.0158759
2.5700000	0.8953992	0.3501580	-0.2709712	0.0838284	-0.0544772	0.1670791	0.0168415	-0.0138129	-0.0143754	0.0123581	-0.0211280	-0.0147450
2.5800000	0.8962109	0.3495832	-0.2693035	0.0847849	-0.0525021	0.1660142	0.0169609	-0.0140158	-0.0145207	0.0111289	-0.0199308	-0.0136244
2.5900000	0.8970323	0.3490279	-0.2676458	0.0857525	-0.0505293	0.1649542	0.0170680	-0.0142069	-0.0146547	0.0099145	-0.0187422	-0.0125147
2.6000000	0.8978634	0.3484921	-0.2659981	0.0867302	-0.0485602	0.1638991	0.0171629	-0.0143864	-0.0147775	0.0087151	-0.0175627	-0.0114164
2.6100000	0.8987045	0.3479758	-0.2643603	0.0877167	-0.0465957	0.1628492	0.0172458	-0.0145542	-0.0148891	0.0075313	-0.0163929	-0.0103300
2.6200000	0.8995556	0.3474789	-0.2627324	0.0887111	-0.0446370	0.1618045	0.0173167	-0.0147107	-0.0149898	0.0063635	-0.0152333	-0.0092559
2.6300000	0.9004168	0.3470013	-0.2611144	0.0897123	-0.0426851	0.1607652	0.0173759	-0.0148557	-0.0150796	0.0052121	-0.0140845	-0.0081945
2.6400000	0.9012882	0.3465432	-0.2595061	0.0907192	-0.0407412	0.1597313	0.0174236	-0.0149895	-0.0151586	0.0040775	-0.0129470	-0.0071463
2.6500000	0.9021699	0.3461043	-0.2579076	0.0917308	-0.0388063	0.1587030	0.0174598	-0.0151122	-0.0152271	0.0029601	-0.0118212	-0.0061118
2.6600000	0.9030620	0.3456846	-0.2563187	0.0927460	-0.0368813	0.1576804	0.0174847	-0.0152238	-0.0152851	0.0018602	-0.0107077	-0.0050912
2.6700000	0.9039645	0.3452841	-0.2547395	0.0937639	-0.0349673	0.1566636	0.0174987	-0.0153246	-0.0153327	0.0007782	-0.0096070	-0.0040850
2.6800000	0.9048775	0.3449026	-0.2531698	0.0947834	-0.0330653	0.1556528	0.0175017	-0.0154146	-0.0153702	-0.0002856	-0.0085194	-0.0030935
2.6900000	0.9058009	0.3445401	-0.2516096	0.0958037	-0.0311761	0.1546479	0.0174940	-0.0154939	-0.0153976	-0.0013309	-0.0074454	-0.0021172
2.7000000	0.9067349	0.3441963	-0.2500589	0.0968237	-0.0293008	0.1536491	0.0174759	-0.0155628	-0.0154152	-0.0023574	-0.0063855	-0.0011563
2.7100000	0.9076794	0.3438713	-0.2485175	0.0978426	-0.0274402	0.1526565	0.0174474	-0.0156213	-0.0154231	-0.0033647	-0.0053399	-0.0002111
2.7200000	0.9086345	0.3435649	-0.2469856	0.0988593	-0.0255952	0.1516702	0.0174088	-0.0156696	-0.0154214	-0.0043526	-0.0043092	0.0007180
2.7300000	0.9096001	0.3432770	-0.2454629	0.0998730	-0.0237666	0.1506903	0.0173602	-0.0157078	-0.0154103	-0.0053210	-0.0032937	0.0016307
2.7400000	0.9105761	0.3430073	-0.2439494	0.1008829	-0.0219553	0.1497169	0.0173020	-0.0157361	-0.0153900	-0.0062694	-0.0022937	0.0025268
2.7500000	0.9115627	0.3427558	-0.2424452	0.1018880	-0.0201621	0.1487499	0.0172342	-0.0157546	-0.0153606	-0.0071978	-0.0013095	0.0034059
2.7600000	0.9125597	0.3425223	-0.2409501	0.1028875	-0.0183878	0.1477896	0.0171570	-0.0157635	-0.0153224	-0.0081058	-0.0003416	0.0042680
2.7700000	0.9135670	0.3423066	-0.2394641	0.1038806	-0.0166330	0.1468360	0.0170708	-0.0157630	-0.0152755	-0.0089934	0.0006099	0.0051126
2.7800000	0.9145847	0.3421085	-0.2379871	0.1048665	-0.0148986	0.1458891	0.0169757	-0.0157531	-0.0152201	-0.0098603	0.0015446	0.0059397
2.7900000	0.9156127	0.3419279	-0.2365191	0.1058443	-0.0131852	0.1449490	0.0168718	-0.0157342	-0.0151563	-0.0107064	0.0024622	0.0067489
2.8000000	0.9166508	0.3417645	-0.2350600	0.1068134	-0.0114936	0.1440157	0.0167595	-0.0157063	-0.0150843	-0.0115315	0.0033625	0.0075402
2.8100000	0.9176990	0.3416182	-0.2336098	0.1077730	-0.0098243	0.1430894	0.0166389	-0.0156696	-0.0150044	-0.0123356	0.0042453	0.0083133
2.8200000	0.9187573	0.3414887	-0.2321684	0.1087222	-0.0081781	0.1421699	0.0165103	-0.0156242	-0.0149168	-0.0131183	0.0051103	0.0090681
2.8300000	0.9198254	0.3413759	-0.2307358	0.1096605	-0.0065554	0.1412575	0.0163738	-0.0155704	-0.0148215	-0.0138798	0.0059572	0.0098044
2.8400000	0.9209034	0.3412795	-0.2293120	0.1105871	-0.0049569	0.1403521	0.0162297	-0.0155084	-0.0147188	-0.0146199	0.0067860	0.0105221
2.8500000	0.9219910	0.3411993	-0.2278968	0.1115013	-0.0033832	0.1394537	0.0160782	-0.0154383	-0.0146089	-0.0153384	0.0075965	0.0112211
2.8600000	0.9230882	0.3411350	-0.2264902	0.1124025	-0.0018347	0.1385624	0.0159195	-0.0153602	-0.0144920	-0.0160355	0.0083884	0.0119013
2.8700000	0.9241948	0.3410864	-0.2250923	0.1132901	-0.0003120	0.1376782	0.0157539	-0.0152744	-0.0143683	-0.0167109	0.0091615	0.0125625
2.8800000	0.9253107	0.3410533	-0.2237028	0.1141634	0.0011844	0.1368011	0.0155816	-0.0151810	-0.0142380	-0.0173647	0.0099159	0.0132048
2.8900000	0.9264357	0.3410355	-0.2223218	0.1150218	0.0026542	0.1359310	0.0154027	-0.0150803	-0.0141013	-0.0179968	0.0106513	0.0138280
2.9000000	0.9275697	0.3410326	-0.2209493	0.1158648	0.0040968	0.1350681	0.0152175	-0.0149724	-0.0139583	-0.0186073	0.0113676	0.0144321
2.9100000	0.9287126	0.3410444	-0.2195851	0.1166917	0.0055118	0.1342123	0.0150263	-0.0148575	-0.0138093	-0.0191961	0.0120648	0.0150170
2.9200000	0.9298641	0.3410707	-0.2182293	0.1175021	0.0068989	0.1333636	0.0148292	-0.0147357	-0.0136544	-0.0197633	0.0127426	0.0155828
2.9300000	0.9310241	0.3411112	-0.2168818	0.1182954	0.0082577	0.1325219	0.0146265	-0.0146073	-0.0134939	-0.0203089	0.0134012	0.0161293
2.9400000	0.9321924	0.3411656	-0.2155424	0.1190711	0.0095879	0.1316873	0.0144183	-0.0144725	-0.0133280	-0.0208329	0.0140404	0.0166567
2.9500000	0.9333689	0.3412336	-0.2142113	0.1198287	0.0108891	0.1308598	0.0142050	-0.0143315	-0.0131568	-0.0213354	0.0146601	0.0171649
2.9600000	0.9345533	0.3413150	-0.2128883	0.1205678	0.0121612	0.1300392	0.0139868	-0.0141843	-0.0129806	-0.0218164	0.0152604	0.0176539
2.9700000	0.9357455	0.3414095	-0.2115734	0.1212879	0.0134037	0.1292256	0.0137638	-0.0140313	-0.0127996	-0.0222761	0.0158412	0.0181238
2.9800000	0.9369453	0.3415168	-0.2102666	0.1219886	0.0146164	0.1284190	0.0135362	-0.0138726	-0.0126139	-0.0227145	0.0164025	0.0185746
2.9900000	0.9381524	0.3416366	-0.2089677	0.1226695	0.0157993	0.1276193	0.0133044	-0.0137084	-0.0124237	-0.0231317	0.0169443	0.0190064
3.0000000	0.9393666	0.3417687	-0.2076768	0.1233302	0.0169519	0.1268265	0.0130684	-0.0135389	-0.0122293	-0.0235279	0.0174667	0.0194192
3.0100000	0.9405878	0.3419126	-0.2063938	0.1239703	0.0180742	0.1260404	0.0128286	-0.0133643	-0.0120309	-0.0239031	0.0179696	0.0198131
3.0200000	0.9418158	0.3420682	-0.2051186	0.1245895	0.0191661	0.1252611	0.0125851	-0.0131847	-0.0118286	-0.0242574	0.0184530	0.0201883
3.0300000	0.9430502	0.3422352	-0.2038513	0.1251874	0.0202273	0.1244886	0.0123382	-0.0130004	-0.0116226	-0.0245911	0.0189172	0.0205447
3.0400000	0.9442910	0.3424132	-0.2025917	0.1257637	0.0212578	0.1237226	0.0120880	-0.0128116	-0.0114131	-0.0249043	0.0193620	0.0208825
3.0500000	0.9455378	0.3426019	-0.2013398	0.1263182	0.0222574	0.1229633	0.0118348	-0.0126184	-0.0112003	-0.0251971	0.0197875	0.0212018
3.0600000	0.9467905	0.3428011	-0.2000956	0.1268505	0.0232262	0.1222104	0.0115787	-0.0124210	-0.0109845	-0.0254697	0.0201940	0.0215028
3.0700000	0.9480488	0.3430105	-0.1988591	0.1273605	0.0241640	0.1214640	0.0113201	-0.0122196	-0.0107657	-0.0257223	0.0205813	0.0217856
3.0800000	0.9493124	0.3432296	-0.1976301	0.1278477	0.0250708	0.1207240	0.0110590	-0.0120144	-0.0105442	-0.0259551	0.0209497	0.0220503
3.0900000	0.9505812	0.3434584	-0.1964086	0.1283121	0.0259467	0.1199903	0.0107957	-0.0118056	-0.0103201	-0.0261682	0.0212993	0.0222971
3.1000000	0.9518550	0.3436963	-0.1951947	0.1287535	0.0267915	0.1192628	0.0105304	-0.0115933	-0.0100937	-0.0263619	0.0216301	0.0225261
3.1100000	0.9531334	0.3439432	-0.1939882	0.1291716	0.0276054	0.1185415	0.0102633	-0.0113778	-0.0098651	-0.0265364	0.0219423	0.0227375
3.1200000	0.9544162	0.3441987	-0.1927890	0.1295662	0.0283885	0.1178262	0.0099946	-0.0111593	-0.0096346	-0.0266919	0.0222361	0.0229315
3.1300000	0.9557032	0.3444626	-0.1915973	0.1299373	0.0291406	0.1171169	0.0097244	-0.0109378	-0.0094021	-0.0268286	0.0225115	0.0231083
3.1400000	0.9569942	0.3447344	-0.1904128	0.1302846	0.0298621	0.1164135	0.0094530	-0.0107137	-0.0091681	-0.0269469	0.0227687	0.0232680
3.1500000	0.9582888	0.3450140	-0.1892357	0.1306082	0.0305528	0.1157160	0.0091805	-0.0104870	-0.0089326	-0.0270468	0.0230080	0.0234109
3.1600000	0.9595870	0.3453010	-0.1880657	0.1309078	0.0312130	0.1150241	0.0089072	-0.0102579	-0.0086957	-0.0271287	0.0232294	0.0235372
3.1700000	0.9608883	0.3455951	-0.1869030	0.1311834	0.0318428	0.1143379	0.0086332	-0.0100267	-0.0084578	-0.0271929	0.0234331	0.0236470
3.1800000	0.9621926	0.3458959	-0.1857474	0.1314349	0.0324424	0.1136572	0.0083586	-0.0097934	-0.0082188	-0.0272395	0.0236194	0.0237406
3.1900000	0.9634995	0.3462033	-0.1845988	0.1316623	0.0330118	0.1129820	0.0080838	-0.0095583	-0.0079791	-0.0272689	0.0237884	0.0238183
3.2000000	0.9648090	0.3465169	-0.1834574	0.1318655	0.0335514	0.1123121	0.0078087	-0.0093216	-0.0077387	-0.0272814	0.0239403	0.0238802
3.2100000	0.9661206	0.3468364	-0.1823229	0.1320446	0.0340612	0.1116475	0.0075337	-0.0090834	-0.0074978	-0.0272771	0.0240754	0.0239266
3.2200000	0.9674343	0.3471616	-0.1811954	0.1321995	0.0345415	0.1109881	0.0072589	-0.0088438	-0.0072566	-0.0272565	0.0241938	0.0239578
3.2300000	0.9687496	0.3474920	-0.1800749	0.1323302	0.0349925	0.1103338	0.0069844	-0.0086031	-0.0070152	-0.0272198	0.0242957	0.0239739
3.2400000	0.9700664	0.3478274	-0.1789612	0.1324368	0.0354145	0.1096844	0.0067104	-0.0083613	-0.0067738	-0.0271672	0.0243814	0.0239753
3.2500000	0.9713844	0.3481676	-0.1778544	0.1325193	0.0358077	0.1090400	0.0064371	-0.0081187	-0.0065325	-0.0270992	0.0244511	0.0239622
3.2600000	0.9727034	0.3485122	-0.1767544	0.1325777	0.0361723	0.1084004	0.0061646	-0.0078755	-0.0062915	-0.0270160	0.0245051	0.0239348
3.2700000	0.9740231	0.3488610	-0.1756612	0.1326122	0.0365087	0.1077654	0.0058931	-0.0076317	-0.0060508	-0.0269178	0.0245435	0.0238934
3.2800000	0.9753433	0.3492136	-0.1745746	0.1326228	0.0368172	0.1071351	0.0056227	-0.0073875	-0.0058108	-0.0268051	0.0245667	0.0238383
3.2900000	0.9766637	0.3495698	-0.1734948	0.1326097	0.0370980	0.1065094	0.0053535	-0.0071431	-0.0055714	-0.0266781	0.0245749	0.0237698
3.3000000	0.9779841	0.3499294	-0.1724216	0.1325729	0.0373514	0.1058880	0.0050858	-0.0068986	-0.0053328	-0.0265372	0.0245683	0.0236881
3.3100000	0.9793043	0.3502919	-0.1713550	0.1325125	0.0375778	0.1052710	0.0048195	-0.0066542	-0.0050952	-0.0263827	0.0245472	0.0235935
3.3200000	0.9806240	0.3506572	-0.1702950	0.1324288	0.0377775	0.1046583	0.0045550	-0.0064100	-0.0048586	-0.0262148	0.0245118	0.0234864
3.3300000	0.9819429	0.3510250	-0.1692415	0.1323218	0.0379509	0.1040498	0.0042923	-0.0061662	-0.0046233	-0.0260340	0.0244625	0.0233669
3.3400000	0.9832608	0.3513950	-0.1681945	0.1321918	0.0380983	0.1034453	0.0040315	-0.0059229	-0.0043892	-0.0258406	0.0243995	0.0232353
3.3500000	0.9845776	0.3517670	-0.1671539	0.1320388	0.0382201	0.1028448	0.0037728	-0.0056802	-0.0041566	-0.0256349	0.0243230	0.0230921
3.3600000	0.9858929	0.3521407	-0.1661197	0.1318632	0.0383166	0.1022483	0.0035162	-0.0054382	-0.0039256	-0.0254172	0.0242334	0.0229374
3.3700000	0.9872066	0.3525157	-0.1650919	0.1316651	0.0383883	0.1016556	0.0032620	-0.0051972	-0.0036962	-0.0251878	0.0241309	0.0227715
3.3800000	0.9885183	0.3528920	-0.1640704	0.1314447	0.0384354	0.1010666	0.0030102	-0.0049572	-0.0034687	-0.0249472	0.0240158	0.0225948
3.3900000	0.9898280	0.3532692	-0.1630553	0.1312023	0.0384585	0.1004814	0.0027608	-0.0047183	-0.0032430	-0.0246956	0.0238884	0.0224075
3.4000000	0.9911352	0.3536471	-0.1620463	0.1309380	0.0384579	0.0998997	0.0025142	-0.0044807	-0.0030192	-0.0244334	0.0237490	0.0222099
3.4100000	0.9924400	0.3540254	-0.1610436	0.1306522	0.0384341	0.0993215	0.0022702	-0.0042445	-0.0027976	-0.0241609	0.0235979	0.0220024
3.4200000	0.9937419	0.3544039	-0.1600471	0.1303451	0.0383874	0.0987468	0.0020291	-0.0040098	-0.0025782	-0.0238785	0.0234353	0.0217852
3.4300000	0.9950408	0.3547823	-0.1590567	0.1300169	0.0383183	0.0981755	0.0017910	-0.0037767	-0.0023610	-0.0235865	0.0232616	0.0215587
3.4400000	0.9963365	0.3551605	-0.1580724	0.1296679	0.0382272	0.0976074	0.0015558	-0.0035454	-0.0021462	-0.0232852	0.0230771	0.0213230
3.4500000	0.9976288	0.3555382	-0.1570941	0.1292985	0.0381145	0.0970427	0.0013238	-0.0033159	-0.0019339	-0.0229750	0.0228820	0.0210787
3.4600000	0.9989174	0.3559152	-0.1561219	0.1289089	0.0379807	0.0964810	0.0010950	-0.0030884	-0.0017241	-0.0226563	0.0226766	0.0208258
3.4700000	1.0002022	0.3562912	-0.1551557	0.1284994	0.0378263	0.0959225	0.0008694	-0.0028629	-0.0015169	-0.0223293	0.0224613	0.0205648
3.4800000	1.0014830	0.3566661	-0.1541955	0.1280703	0.0376517	0.0953671	0.0006472	-0.0026395	-0.0013124	-0.0219944	0.0222363	0.0202959
3.4900000	1.0027595	0.3570396	-0.1532411	0.1276219	0.0374573	0.0948146	0.0004285	-0.0024185	-0.0011107	-0.0216519	0.0220020	0.0200195
3.5000000	1.0040316	0.3574115	-0.1522927	0.1271547	0.0372435	0.0942650	0.0002133	-0.0021997	-0.0009119	-0.0213023	0.0217586	0.0197358
3.5100000	1.0052991	0.3577817	-0.1513501	0.1266688	0.0370110	0.0937184	0.0000016	-0.0019834	-0.0007159	-0.0209457	0.0215064	0.0194451
3.5200000	1.0065617	0.3581498	-0.1504133	0.1261647	0.0367601	0.0931745	-0.0002064	-0.0017696	-0.0005230	-0.0205826	0.0212458	0.0191478
3.5300000	1.0078194	0.3585159	-0.1494822	0.1256427	0.0364913	0.0926334	-0.0004107	-0.0015585	-0.0003331	-0.0202133	0.0209770	0.0188441
3.5400000	1.0090719	0.3588795	-0.1485570	0.1251032	0.0362050	0.0920951	-0.0006112	-0.0013500	-0.0001463	-0.0198381	0.0207004	0.0185343
3.5500000	1.0103190	0.3592407	-0.1476374	0.1245464	0.0359018	0.0915594	-0.0008079	-0.0011443	0.0000373	-0.0194573	0.0204162	0.0182187
3.5600000	1.0115606	0.3595991	-0.1467235	0.1239729	0.0355821	0.0910264	-0.0010008	-0.0009414	0.0002177	-0.0190713	0.0201247	0.0178977
3.5700000	1.0127965	0.3599546	-0.1458152	0.1233829	0.0352463	0.0904959	-0.0011897	-0.0007414	0.0003948	-0.0186804	0.0198263	0.0175714
3.5800000	1.0140266	0.3603071	-0.1449126	0.1227768	0.0348951	0.0899680	-0.0013746	-0.0005445	0.0005686	-0.0182849	0.0195212	0.0172402
3.5900000	1.0152506	0.3606563	-0.1440155	0.1221550	0.0345288	0.0894426	-0.0015555	-0.0003506	0.0007391	-0.0178851	0.0192098	0.0169044
3.6000000	1.0164685	0.3610022	-0.1431239	0.1215179	0.0341479	0.0889197	-0.0017324	-0.0001598	0.0009061	-0.0174814	0.0188922	0.0165642
3.6100000	1.0176800	0.3613445	-0.1422379	0.1208659	0.0337529	0.0883992	-0.0019052	0.0000278	0.0010697	-0.0170740	0.0185689	0.0162200
3.6200000	1.0188851	0.3616831	-0.1413573	0.1201994	0.0333442	0.0878811	-0.0020739	0.0002122	0.0012298	-0.0166633	0.0182401	0.0158720
3.6300000	1.0200835	0.3620179	-0.1404821	0.1195188	0.0329224	0.0873654	-0.0022384	0.0003932	0.0013864	-0.0162496	0.0179061	0.0155204
3.6400000	1.0212752	0.3623488	-0.1396124	0.1188244	0.0324880	0.0868520	-0.0023987	0.0005710	0.0015394	-0.0158331	0.0175671	0.0151656
3.6500000	1.0224599	0.3626755	-0.1387480	0.1181167	0.0320413	0.0863410	-0.0025549	0.0007453	0.0016888	-0.0154142	0.0172235	0.0148079
3.6600000	1.0236377	0.3629980	-0.1378890	0.1173961	0.0315830	0.0858323	-0.0027068	0.0009162	0.0018346	-0.0149932	0.0168756	0.0144474
3.6700000	1.0248082	0.3633161	-0.1370352	0.1166630	0.0311133	0.0853259	-0.0028544	0.0010836	0.0019768	-0.0145704	0.0165236	0.0140845
3.6800000	1.0259715	0.3636297	-0.1361868	0.1159179	0.0306329	0.0848217	-0.0029979	0.0012474	0.0021154	-0.0141460	0.0161678	0.0137194
3.6900000	1.0271273	0.3639387	-0.1353435	0.1151610	0.0301422	0.0843197	-0.0031370	0.0014077	0.0022502	-0.0137203	0.0158085	0.0133524
3.7000000	1.0282757	0.3642429	-0.1345055	0.1143928	0.0296417	0.0838200	-0.0032719	0.0015644	0.0023814	-0.0132936	0.0154459	0.0129837
3.7100000	1.0294163	0.3645424	-0.1336726	0.1136138	0.0291318	0.0833225	-0.0034025	0.0017175	0.0025089	-0.0128663	0.0150804	0.0126136
3.7200000	1.0305493	0.3648369	-0.1328449	0.1128244	0.0286129	0.0828272	-0.0035288	0.0018669	0.0026327	-0.0124385	0.0147122	0.0122423
3.7300000	1.0316744	0.3651264	-0.1320223	0.1120249	0.0280857	0.0823340	-0.0036508	0.0020126	0.0027527	-0.0120105	0.0143415	0.0118701
3.7400000	1.0327915	0.3654108	-0.1312048	0.1112159	0.0275504	0.0818431	-0.0037685	0.0021545	0.0028690	-0.0115826	0.0139686	0.0114972
3.7500000	1.0339005	0.3656899	-0.1303923	0.1103976	0.0270076	0.0813543	-0.0038820	0.0022928	0.0029816	-0.0111551	0.0135939	0.0111239
3.7600000	1.0350015	0.3659638	-0.1295849	0.1095706	0.0264576	0.0808676	-0.0039911	0.0024273	0.0030904	-0.0107281	0.0132174	0.0107503
3.7700000	1.0360942	0.3662323	-0.1287824	0.1087352	0.0259011	0.0803831	-0.0040960	0.0025580	0.0031955	-0.0103020	0.0128396	0.0103768
3.7800000	1.0371786	0.3664954	-0.1279849	0.1078919	0.0253383	0.0799008	-0.0041966	0.0026849	0.0032969	-0.0098770	0.0124606	0.0100035
3.7900000	1.0382546	0.3667529	-0.1271923	0.1070410	0.0247698	0.0794205	-0.0042930	0.0028080	0.0033946	-0.0094534	0.0120807	0.0096306
3.8000000	1.0393221	0.3670048	-0.1264047	0.1061831	0.0241959	0.0789425	-0.0043852	0.0029273	0.0034885	-0.0090313	0.0117001	0.0092584
3.8100000	1.0403811	0.3672511	-0.1256218	0.1053184	0.0236171	0.0784665	-0.0044731	0.0030428	0.0035787	-0.0086110	0.0113190	0.0088870
3.8200000	1.0414315	0.3674917	-0.1248439	0.1044475	0.0230339	0.0779927	-0.0045569	0.0031545	0.0036652	-0.0081927	0.0109378	0.0085168
3.8300000	1.0424732	0.3677266	-0.1240707	0.1035706	0.0224466	0.0775210	-0.0046364	0.0032624	0.0037481	-0.0077766	0.0105565	0.0081478
3.8400000	1.0435062	0.3679556	-0.1233023	0.1026883	0.0218556	0.0770514	-0.0047119	0.0033664	0.0038272	-0.0073630	0.0101756	0.0077804
3.8500000	1.0445304	0.3681788	-0.1225386	0.1018009	0.0212614	0.0765840	-0.0047832	0.0034666	0.0039027	-0.0069521	0.0097951	0.0074146
3.8600000	1.0455458	0.3683961	-0.1217797	0.1009088	0.0206644	0.0761187	-0.0048504	0.0035630	0.0039746	-0.0065440	0.0094153	0.0070507
3.8700000	1.0465523	0.3686075	-0.1210255	0.1000124	0.0200649	0.0756556	-0.0049136	0.0036556	0.0040428	-0.0061389	0.0090364	0.0066888
3.8800000	1.0475498	0.3688129	-0.1202759	0.0991122	0.0194634	0.0751946	-0.0049727	0.0037444	0.0041075	-0.0057372	0.0086586	0.0063292
3.8900000	1.0485385	0.3690124	-0.1195310	0.0982085	0.0188603	0.0747357	-0.0050279	0.0038294	0.0041686	-0.0053388	0.0082821	0.0059720
3.9000000	1.0495181	0.3692058	-0.1187906	0.0973016	0.0182559	0.0742790	-0.0050791	0.0039106	0.0042261	-0.0049441	0.0079072	0.0056173
3.9100000	1.0504887	0.3693933	-0.1180549	0.0963921	0.0176506	0.0738245	-0.0051263	0.0039881	0.0042801	-0.0045532	0.0075339	0.0052655
3.9200000	1.0514502	0.3695747	-0.1173237	0.0954802	0.0170448	0.0733721	-0.0051697	0.0040619	0.0043306	-0.0041662	0.0071626	0.0049165
3.9300000	1.0524027	0.3697500	-0.1165970	0.0945664	0.0164388	0.0729218	-0.0052093	0.0041319	0.0043777	-0.0037834	0.0067934	0.0045706
3.9400000	1.0533461	0.3699193	-0.1158748	0.0936509	0.0158331	0.0724738	-0.0052451	0.0041982	0.0044214	-0.0034049	0.0064265	0.0042280
3.9500000	1.0542803	0.3700826	-0.1151570	0.0927343	0.0152279	0.0720279	-0.0052771	0.0042609	0.0044616	-0.0030308	0.0060620	0.0038887
3.9600000	1.0552054	0.3702398	-0.1144438	0.0918168	0.0146236	0.0715843	-0.0053054	0.0043199	0.0044985	-0.0026613	0.0057002	0.0035530
3.9700000	1.0561214	0.3703910	-0.1137349	0.0908988	0.0140205	0.0711428	-0.0053300	0.0043753	0.0045321	-0.0022965	0.0053412	0.0032209
3.9800000	1.0570283	0.3705361	-0.1130304	0.0899806	0.0134190	0.0707035	-0.0053510	0.0044271	0.0045624	-0.0019367	0.0049851	0.0028926
3.9900000	1.0579260	0.3706751	-0.1123302	0.0890627	0.0128194	0.0702664	-0.0053685	0.0044753	0.0045894	-0.0015818	0.0046322	0.0025682
4.0000000	1.0588146	0.3708082	-0.1116344	0.0881453	0.0122221	0.0698316	-0.0053825	0.0045200	0.0046133	-0.0012321	0.0042826	0.0022479
4.0100000	1.0596940	0.3709353	-0.1109429	0.0872288	0.0116273	0.0693990	-0.0053930	0.0045612	0.0046339	-0.0008877	0.0039365	0.0019318
4.0200000	1.0605643	0.3710563	-0.1102557	0.0863136	0.0110353	0.0689686	-0.0054001	0.0045990	0.0046515	-0.0005486	0.0035939	0.0016199
4.0300000	1.0614255	0.3711715	-0.1095727	0.0853999	0.0104464	0.0685404	-0.0054038	0.0046333	0.0046660	-0.0002151	0.0032551	0.0013125
4.0400000	1.0622776	0.3712807	-0.1088939	0.0844880	0.0098610	0.0681145	-0.0054043	0.0046642	0.0046774	0.0001129	0.0029201	0.0010096
4.0500000	1.0631207	0.3713840	-0.1082194	0.0835784	0.0092793	0.0676908	-0.0054015	0.0046918	0.0046859	0.0004352	0.0025891	0.0007113
4.0600000	1.0639546	0.3714815	-0.1075490	0.0826713	0.0087016	0.0672694	-0.0053956	0.0047161	0.0046914	0.0007516	0.0022623	0.0004177
4.0700000	1.0647795	0.3715731	-0.1068827	0.0817670	0.0081282	0.0668502	-0.0053865	0.0047371	0.0046940	0.0010622	0.0019398	0.0001289
4.0800000	1.0655955	0.3716589	-0.1062206	0.0808658	0.0075592	0.0664334	-0.0053743	0.0047549	0.0046938	0.0013668	0.0016216	-0.0001550
4.0900000	1.0664024	0.3717390	-0.1055626	0.0799681	0.0069951	0.0660187	-0.0053592	0.0047696	0.0046908	0.0016653	0.0013079	-0.0004339
4.1000000	1.0672004	0.3718135	-0.1049087	0.0790740	0.0064360	0.0656064	-0.0053411	0.0047811	0.0046850	0.0019578	0.0009989	-0.0007078
4.1100000	1.0679895	0.3718822	-0.1042588	0.0781839	0.0058822	0.0651964	-0.0053201	0.0047895	0.0046765	0.0022440	0.0006945	-0.0009765
4.1200000	1.0687697	0.3719454	-0.1036129	0.0772981	0.0053339	0.0647886	-0.0052963	0.0047949	0.0046654	0.0025239	0.0003950	-0.0012400
4.1300000	1.0695411	0.3720030	-0.1029710	0.0764168	0.0047914	0.0643831	-0.0052698	0.0047973	0.0046517	0.0027975	0.0001003	-0.0014982
4.1400000	1.0703037	0.3720552	-0.1023331	0.0755402	0.0042548	0.0639800	-0.0052406	0.0047968	0.0046355	0.0030648	-0.0001893	-0.0017511
